Meriton Suites Bondi Junction,Bondi,Sydney,5.0,8.4,meriton-serviced-apartments-bondi-junction,3727
Meriton Suites Mascot Central,Mascot,Sydney,5.0,9.1,msa-mascot,3012
Meriton Suites Zetland,,Sydney,5.0,9.0,serviced-apartments-zetland,1222
"Meriton Suites Pitt Street, Sydney",Sydney CBD,Sydney,5.0,8.3,meriton-serviced-apartments-pitt-street,2042
Meriton Suites North Ryde,North Ryde,Sydney,5.0,9.0,meriton-servcied-apartments-north-ryde,1871
Pullman Sydney Olympic Park,Sydney Olympic Park,Sydney,5.0,8.3,pullman-at-sydney-olympic-park,1032
Park Hyatt Sydney,Sydney CBD,Sydney,5.0,9.1,park-hyatt-sydney,338
21 Sorrell Shared Apartment,Parramatta,Sydney,5.0,8.4,21-sorrell,58
Rydges World Square,Sydney CBD,Sydney,4.5,8.5,avillion-sydney,4108
The Ultimo,Sydney CBD,Sydney,4.0,8.5,aarons-sydney,2325
The Lurline Randwick,Randwick,Sydney,4.0,8.5,randwick-lodge,1263
Perouse Randwick by Sydney Lodges,Randwick,Sydney,4.0,8.3,perouse-lodge,525
Metro Hotel Marlow Sydney Central,Sydney CBD,Sydney,4.0,7.7,metro-sydney-central,1206
Metro Aspire Hotel Sydney,Ultimo,Sydney,4.0,8.6,aspire-sydney-formerly-aspen,1217
The Grace Hotel,Sydney CBD,Sydney,4.0,8.6,the-grace,7199
Great Southern Hotel Sydney,Sydney CBD,Sydney,4.0,8.2,great-southern,5231
Travelodge Hotel Sydney Martin Place,Sydney CBD,Sydney,4.0,8.3,travelodge-phillip-street,1843
Megaboom City Hotel,Sydney CBD,Sydney,4.0,8.3,megaboom-city,1569
Vibe Hotel North Sydney,North Sydney,Sydney,4.5,8.5,vibe-north-sydney-north-sydney,1752
Novotel Sydney Darling Harbour,Sydney CBD,Sydney,4.0,8.2,sydney-darling-harbour,3116
Quest Macquarie Park,North Ryde,Sydney,4.0,8.2,quest-macquaurie-park,1194
Hyde Park Inn,Sydney CBD,Sydney,4.0,8.3,hyde-park-inn,2991
Travelodge Hotel Sydney Wynyard,Sydney CBD,Sydney,4.0,8.2,travelodge-wynyard,4006
Adina Apartment Hotel Sydney Town Hall,Sydney CBD,Sydney,4.5,8.1,adina-sydney,1114
A by Adina Sydney,Sydney CBD,Sydney,4.5,8.9,a-by-adina-sydney,826
Mercure Sydney Parramatta,Parramatta,Sydney,4.0,7.5,parramatta,2656
Rydges Sydney Airport Hotel,Mascot,Sydney,4.5,8.3,rydges-sydney-airport,5648
Royal Pacific Hotel,Lane Cove,Sydney,4.0,7.9,punt-hill-north-shore-sydney,655
"Adina Apartment Hotel Sydney, Darling Harbour",Sydney CBD,Sydney,4.5,8.4,medina-grand-harbourside,1998
Travelodge Hotel Sydney Airport,Mascot,Sydney,4.0,8.4,travelodge-sydney-airport,4064
Vibe Hotel Sydney Darling Harbour,Sydney CBD,Sydney,4.5,8.4,vibe-sydney-darling-harbour,2413
Kirketon Hotel Sydney,Darlinghurst,Sydney,4.0,7.4,kirketon-sydney,1256
Oaks Sydney Goldsbrough Suites,Pyrmont,Sydney,4.0,7.8,oaks-goldsborough-apartments-darling-harbour,4299
Rydges Parramatta,Parramatta,Sydney,4.5,8.1,rydges-parramatta,3182
Rendezvous Hotel Sydney The Rocks,Sydney CBD,Sydney,4.0,8.0,rendezvous-stafford-at-the-rocks,1768
YEHS Hotel Sydney QVB,Sydney CBD,Sydney,4.0,8.4,sydney-qvb,2775
The Urban Newtown,Newtown,Sydney,4.0,8.2,the-uban,995
Vulcan Hotel Sydney,Ultimo,Sydney,4.0,8.3,vulcan,541
"Holiday Inn Express Sydney Macquarie Park, an IHG Hotel",North Ryde,Sydney,4.0,8.6,holiday-inn-express-sydney-macquarie-park,859
Rydges Camperdown,Camperdown,Sydney,4.0,8.5,rydges-camperdown,1562
Novotel Sydney Central,Sydney CBD,Sydney,4.0,8.2,novotel-sydney-central,865
Central Studio Hotel Sydney,Sydney CBD,Sydney,4.0,8.4,rendezvous-sydney-central,1162
"Crowne Plaza Sydney Darling Harbour, an IHG Hotel",Sydney CBD,Sydney,4.0,8.6,crowne-plaza-sydney-darling-harbour,1368
Mantra Parramatta,Parramatta,Sydney,4.0,7.7,mantra-parramatta,1498
57Hotel,Surry Hills,Sydney,4.0,8.2,57hotel,1285
Milson Serviced Apartments,,Sydney,3.5,8.4,milson-executive-apartments,277
Novotel Sydney Darling Square,Sydney CBD,Sydney,4.0,8.5,novotel-sydney-darling-square,1604
Quest Manly,Manly,Sydney,4.0,8.7,quest-manly,463
Rydges Sydney Harbour,Sydney CBD,Sydney,4.0,8.1,old-sydney-holiday-inn,3863
