Name,Suburb,city,Star Rating,Overall Guest rating,reviewName,count_rev
The Nunnery Boutique Hotel,,Moss Vale,5,9.0,the-old-nunnery-b-amp-b-moss-vale,192
Clubbe Cottage,,Burradoo,5,8.5,clubbe-cottage-bowral,85
Getaway Inn Boutique Guest house,,Nulkaba,5,7.8,getaway-inn-boutique-guest-house,176
Victoria Albert Guest House Bar Cafe and Restaurant,,Mount Victoria,5,8.4,victoria-albert-guest-house-bar-cafe-and-restaurant,258
"Meriton Suites Campbell Street, Sydney",Sydney CBD,Sydney,5,8.9,meriton-serviced-apartments-campbell-street,5384
"Meriton Suites Sussex Street, Sydney",Sydney CBD,Sydney,5,8.7,meriton-suites-sussex-street,3799
Meriton Suites Mascot Central,Mascot,Sydney,5,9.1,msa-mascot,3012
Churchill's B&B,,Swansea,5,8.8,churchill-39-s-b-amp-b-twin-spa-getaway,170
"Meriton Suites Coward Street, Mascot",Mascot,Sydney,5,9.2,meriton-suites-sydney-airport,2079
"Meriton Suites Kent Street, Sydney",Sydney CBD,Sydney,5,8.5,meriton-serviced-apartment-kent-street,7796
Meriton Suites North Ryde,North Ryde,Sydney,5,9.0,meriton-servcied-apartments-north-ryde,1871
"Meriton Suites Pitt Street, Sydney",Sydney CBD,Sydney,5,8.3,meriton-serviced-apartments-pitt-street,2044
Meriton Suites Waterloo,,Sydney,5,8.6,meriton-serviced-apartments-danks-street,2236
Meriton Suites Chatswood,Chatswood,Sydney,5,8.8,meriton-serviced-apartments-chatswood,3275
Radisson Blu Plaza Hotel Sydney,Sydney CBD,Sydney,5,9.0,radisson-plaza-sydney,2772
Meriton Suites North Sydney,North Sydney,Sydney,5,9.0,meriton-serviced-apartments-north-sydney,2900
Kindred Parkside Apartments,,Leeton,5,9.2,kindred-parkside-apartments,124
Emirates One&Only Wolgan Valley,,Newnes,5,9.1,wolgan-valley-resort,180
Meriton Suites Bondi Junction,Bondi,Sydney,5,8.4,meriton-serviced-apartments-bondi-junction,3727
